Datum,VerbTyp,Lat,Lon,Download-Geschwindigkeit,BytesDownload,Upload-Geschwindigkeit,BytesUpload,Latenz,Server,Interne IP,Externe IP,URL
"21.06.2026, 15:04",Lte,51.219889114425605,6.7653024760518745,26.909672,40334856,8.044992,12103705,34,Essen,10.187.232.20,176.4.203.232,https://www.speedtest.net/my-result/a/11697492781
"21.06.2026, 14:59",Lte,51.22265711294728,6.768048611632446,14.608944,19602616,28.464336,18628012,30,Essen,10.187.232.20,176.4.203.232,https://www.speedtest.net/my-result/a/11697483825
"21.06.2026, 14:54",Lte,51.224778185085235,6.769962823909065,11.395904,18590268,13.214104,20079062,29,Essen,10.187.232.20,176.4.203.232,https://www.speedtest.net/my-result/a/11697476667
"21.06.2026, 14:50",Lte,51.227093981298005,6.770840680724015,24.259936,36043590,22.82452,37807356,31,Essen,10.187.232.20,176.4.203.232,https://www.speedtest.net/my-result/a/11697468914
"21.06.2026, 14:46",Lte,51.22921415462977,6.770697361411824,4.91208,7405912,5.711432,8993856,29,Essen,10.187.232.20,176.4.203.232,https://www.speedtest.net/my-result/a/11697462645
"21.06.2026, 14:40",Lte,51.23210910069017,6.771047543976718,11.57644,14071772,2.873368,4785400,31,Essen,10.187.232.20,176.4.203.232,https://www.speedtest.net/my-result/a/11697452446
"21.06.2026, 14:32",Lte,51.2365878464681,6.770229920074509,21.833192,35668080,8.112792,13674161,33,Essen,10.187.232.20,176.4.203.232,https://www.speedtest.net/my-result/a/11697436382
"23.05.2026, 18:45",Lte,51.21989864941229,6.76532390768435,0.816024,1080576,0.20644,321532,56,Rietberg,10.134.177.89,176.1.150.177,https://www.speedtest.net/my-result/a/11636766159
"23.05.2026, 18:37",Lte,51.22254964888306,6.768150536833579,0.00564,5392,1.418864,1724296,48,Rietberg,10.134.177.89,176.1.150.177,https://www.speedtest.net/my-result/a/11636753656
"23.05.2026, 18:24",Lte,51.22715715451852,6.770768665860041,1.23828,1538059,2.599488,3870108,26,Rietberg,10.134.177.89,176.1.150.177,https://www.speedtest.net/my-result/a/11636728611
"23.05.2026, 18:19",Lte,51.22890612110601,6.77071558700455,0.146184,165478,0.003152,4527,239,Rietberg,10.134.177.89,176.1.150.177,https://www.speedtest.net/my-result/a/11636721015
"23.05.2026, 18:12",Lte,51.231742949914846,6.77114978402558,3.952304,4827188,0.787144,1139060,20,Rietberg,10.134.177.89,176.1.150.177,https://www.speedtest.net/my-result/a/-1
"23.05.2026, 18:01",Lte,51.23662100444047,6.77028956774121,0.09096,111884,0.823752,1179500,38,Rietberg,10.134.177.89,176.1.150.177,https://www.speedtest.net/my-result/a/-1
"23.05.2026, 17:58",Lte,51.23644927494536,6.770431936641279,0.47528,911103,1.379136,2120404,63,Rietberg,10.134.177.89,176.1.150.177,https://www.speedtest.net/my-result/a/11636682590
